ID,Name,Email,Title,Level,Role,Parent Team,Parent Team Name,Machine,Start,End
8d636998af48193cf78d87631854cf07f19aa2a3,Bill Weasley,bill@dm.com,Senior SWE,2,Engineering,games,Games,M1,1/1/2021,2/3/2023
75cf2512d4a7bc41b78415bf62016c2c88565a87,Elphias Doge,elphias@dm.com,SWE,1,Developer,games,Games,M1,1/1/2021,2/3/2023
7da80cbcc747e6b06f9b4c355a8b667c0172cf0f,Molly Weasley,molly@dm.com,Eng Director,4,Manager,games,Games,M1,1/1/2021,2/3/2023
fde35cf115e4199b0ab406fada1e0a710d5b083d,Harry Potter,harry@dm.com,Eng Director,4,Engineering,industries,Industries,M1,1/1/2021,1/1/2100
993295c2f94abc963a0460bdbf6a20a5d365ea6b,Helga Hufflepuff,helga@dm.com,Principal SWE,4,Developer,marketing,Marketing,M1,1/1/2021,1/1/2100
4ebc5e6716f7d998f459ef5109197afde00453de,Ron Weasly,ron@dm.com,Eng Manager,3,QA,marketing,Marketing,M1,1/1/2021,1/1/2100
f2184b0f2507de30c6a88538353dceae3a18b5a9,Cornelius Fudge,cornelius@dm.com,SWE,1,Developer,marketing,Marketing,M1,1/1/2021,1/1/2100
1ab1e3870aa87307d6091ad2f25d64a6018f0252,Dudley Dursley,dudley@dm.com,Eng Director,4,Engineering,productivity,Productivity,M1,1/1/2021,1/1/2100
608f4b1ba13cd20c9cc5588c7ecd903a5c930fe1,Lucius Malfoy,lucius@dm.com,Senior Director,5,Developer,products,Products,M1,1/1/2021,1/1/2100
5efd136d506182254862808adf6e4e8bc916d2d8,Filius Flitwick,filius@dm.com,Principal SWE,4,Engineering,sales,Sales,M1,1/1/2021,1/1/2100
922eef3e8f08913ce17380ef50514c86ee600ba2,Sirius Black,sirius@dm.com,Eng Manager,3,Engineering,sales,Sales,M1,1/1/2021,1/1/2100
bfbf5042a14b5ccce70d959a87def59d8f8cfbe0,Neville Longbottom,neville@dm.com,Staff SWE,3,Developer,sales,Sales,M1,1/1/2021,1/1/2100
44ad9c942a837b09759ee1c4eed538dc0de240a3,Cedric Diggory,cedric@dm.com,Senior SWE,2,Developer,sales,Sales,M1,1/1/2021,1/1/2100
f399efd12dfe1045f37a605a297ab9a99bffcc71,Susan Bones,susan@dm.com,SWE,1,Developer,slideshow,Slideshow,M2,1/1/2021,1/1/2100
99dc107041bd02a28e555b089a11985860fc06a0,Igor Karkaraoff,igor@dm.com,SWE,1,Developer,slideshow,Slideshow,M2,1/1/2021,1/1/2100
a25a3fe38ef97a27d3bd33741b2a376b6d4a72df,Arthur Weasley,arthur@dm.com,SWE,1,Developer,spreadsheets,Spreadsheets,M2,1/1/2021,1/1/2100
c47175104bbc846e52705d6f45c5e7f2db0737e2,Remus Lupin,remus@dm.com,Principal SWE,4,Developer,spreadsheets,Spreadsheets,M2,1/1/2021,1/1/2100
6c017fc45fc9ae23112d13137ce7faba7e00f4ba,Seamus Finnigan,seamus@dm.com,SWE,1,Manager,spreadsheets,Spreadsheets,M2,1/1/2021,1/1/2100
e1967ed49711a6dc5f3e5aaa9be87e469fca708b,Rita Skeeter,rita@dm.com,Senior Director,5,QA,tooling,Tooling,M3,2/4/2023,1/1/2100
4ac132293b6937f081881b3c2e1e00623966a236,Cho Chang,cho@dm.com,SWE,1,Engineering,tooling,Tooling,M3,2/4/2023,1/1/2100
3834ccd107ab3610eaaa2ea50004b18defef9427,Irma Pince,irma@dm.com,SWE,1,Engineering,tooling,Tooling,M3,2/4/2023,1/1/2100
e1967ed49711a6dc5f3e5aaa9be87e469fca708b,Rita Skeeter,rita@dm.com,Senior Director,5,QA,tooling,Tooling,M1,1/1/2021,2/3/2023
4ac132293b6937f081881b3c2e1e00623966a236,Cho Chang,cho@dm.com,SWE,1,Engineering,tooling,Tooling,M1,1/1/2021,2/3/2023
3834ccd107ab3610eaaa2ea50004b18defef9427,Irma Pince,irma@dm.com,SWE,1,Engineering,tooling,Tooling,M1,1/1/2021,2/3/2023
b4c8d10082ede5929e00ba1e3bb466fe061cc08f,Rubeus Hagrid,rubeus@dm.com,Principal SWE,4,Engineering,word-processing,Word Processing,M2,1/1/2021,1/1/2100
e521c3985862c409b037a79ba31473815062f836,Viktor Krum,viktor@dm.com,Principal SWE,4,Engineering,word-processing,Word Processing,M2,1/1/2021,1/1/2100
e8fe5c829e7b59a9cc1b1ede10b112f556ab97b8,Dobby,dobby@dm.com,Eng Manager,3,Engineering,word-processing,Word Processing,M2,1/1/2021,1/1/2100
